"Surin,Thailand","Surin, Thailand"
"Kanchanaburi,Thailand","Kanchanaburi, Mueang Kanchanaburi District, Kanchanaburi, Thailand"
"Narathiwat,Thailand","Narathiwat, Thailand"
"Nakhon Si Thammarat,Thailand","Nakhon Si Thammarat, Mueang Nakhon Si Thammarat District, Nakhon Si Thammarat, Thailand"
"Chachoengsao,Thailand","Chachoengsao, Thailand"
"Mae Sot,Thailand","Mae Sot District, Tak, Thailand"
"Nakhon Nayok,Thailand","Nakhon Nayok, Thailand"
"Phetchabun,Thailand","Phetchabun, Thailand"
"Samut Sakhon,Thailand","Samut Sakhon, Mueang Samut Sakhon District, Samut Sakhon 74000, Thailand"
"Thung Song,Thailand","Thung Song District, Nakhon Si Thammarat, Thailand"
"Surat Thani,Thailand","Surat Thani, Mueang Surat Thani District, Surat Thani, Thailand"
"Phuket,Thailand","Phuket, Thailand"
"Nong Khai,Thailand","Nong Khai, Thailand"
"Krabi,Thailand","Krabi, Thailand"
"Ayutthaya,Thailand","Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya District, Phra Nakhon Si Ayutthaya, Thailand"
"Songkhla,Thailand","Songkhla, Mueang Songkhla District, Songkhla, Thailand"
"Kamphaeng Phet,Thailand","Kamphaeng Phet, Thailand"
"Bangkok,Thailand","Bangkok, Thailand"
"Prachin Buri,Thailand","Prachin Buri, Thailand"
"Chon Buri,Thailand","Chon Buri, Thailand"
"Sisaket,Thailand","Si Sa Ket, Thailand"
"Yala,Thailand","Yala, Sateng, Mueang Yala District, Yala 95000, Thailand"
"Nonthaburi,Thailand","Nonthaburi, Mueang Nonthaburi District, Nonthaburi, Thailand"
"Rayong,Thailand","Rayong, Mueang Rayong District, Rayong, Thailand"
"Sakhon Nakhon,Thailand","Sakon Nakhon, Thailand"
"Khon Kaen,Thailand","Khon Kaen, Mueang Khon Kaen District, Khon Kaen 40000, Thailand"
"Ang Thong,Thailand","Ang Thong, Thailand"
"Phangnga,Thailand","Phang-nga, Thailand"
"Samut Songkhram,Thailand","Samut Songkhram, Thailand"
"Nakhon Sawan,Thailand","Nakhon Sawan, Mueang Nakhon Sawan District, Nakhon Sawan, Thailand"
"Phichit,Thailand","Phichit, Thailand"
"Chanthaburi,Thailand","Chanthaburi, Mueang Chanthaburi District, Chanthaburi 22000, Thailand"
"Nakhon Phanom,Thailand","Nakhon Phanom, Thailand"
"Nakhon Pathom,Thailand","Nakhon Pathom, Mueang Nakhon Pathom District, Nakhon Pathom 73000, Thailand"
"Sukhothai,Thailand","Sukhothai, Thailand"
"Nakhon Ratchasima,Thailand","Nakhon Ratchasima, Nai Mueang, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000, Thailand"
"Samut Prakan,Thailand","Samut Prakan, Thailand"
"Phayao,Thailand","Phayao, Thailand"
"Chaiyaphum,Thailand","Chaiyaphum, Thailand"
"Pathum Thani,Thailand","Pathum Thani, Thailand"
"Prachuap Khiri Khan,Thailand","Prachuap Khiri Khan, Thailand"
"Mae Hong Son,Thailand","Mae Hong Son, Thailand"
"Yasothon,Thailand","Yasothon, Thailand"
"Roi Et,Thailand","Roi Et, Thailand"
"Ubon Ratchathani,Thailand","Ubon Ratchathani, Mueang Ubon Ratchathani District, Ubon Ratchathani, Thailand"
"Satun,Thailand","Satun, Thailand"
"Chiang Rai,Thailand","Mueang Chiang Rai, Mueang Chiang Rai District, Chiang Rai, Thailand"
"Uthai Thani,Thailand","Uthai Thani, Thailand"
"Ranong,Thailand","Ranong, Thailand"
"Phitsanulok,Thailand","Phitsanulok, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000, Thailand"
"Maha Sarakham,Thailand","Maha Sarakham, Thailand"
"Aranyaprathet,Thailand","Aranyaprathet District, Sa Kaeo, Thailand"
"Hua Hin,Thailand","Hua Hin District, Prachuap Khiri Khan, Thailand"
"Phetchaburi,Thailand","Phetchaburi, Thailand"
"Si Racha,Thailand","Si Racha, Si Racha District, Chon Buri, Thailand"
"Chumphon,Thailand","Chumphon, Thailand"
"Bua Yai,Thailand","Bua Yai District, Nakhon Ratchasima, Thailand"
"Udon Thani,Thailand","Udon Thani, Thailand"
"Loei,Thailand","Loei, Thailand"
"Supham Buri,Thailand","Suphan Buri, Thailand"
"Kalasin,Thailand","Kalasin, Mueang Kalasin District, Kalasin 46000, Thailand"
"Ratchaburi,Thailand","Ratchaburi, Thailand"
"Pattani,Thailand","Pattani, Thailand"
"Lamphun,Thailand","Lamphun, Thailand"
"Chainat,Thailand","Chai Nat, Thailand"
"Phrae,Thailand","Phrae, Thailand"
"Nan,Thailand","Nan, Thailand"
"Saraburi,Thailand","Saraburi, Thailand"
"Lop Buri,Thailand","Lopburi, Thailand"
"Trat,Thailand","Trat, Thailand"
"Buriram,Thailand","Buri Ram, Thailand"
"Phatthalung,Thailand","Phatthalung, Thailand"
"Tak,Thailand","Tak, Thailand"
"Hat Yai,Thailand","Hat Yai, Hat Yai District, Songkhla 90110, Thailand"
"Lampang,Thailand","Lampang, Mueang Lampang District, Lampang, Thailand"
"Trang,Thailand","Trang, Thailand"
"Sing Buri,Thailand","Sing Buri, Thailand"
"Uttaradit,Thailand","Uttaradit, Thailand"
"Chiang Mai,Thailand","Chiang Mai, Mueang Chiang Mai District, Chiang Mai, Thailand"
